time,password,typing_time,decision,attack_type
2026-06-15 17:03:10.782463,password123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:03:22.109926,admin123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:03:35.391976,admin123,0.2,DENY,REPLAY
2026-06-15 17:04:08.171111,admin123,0.2,DENY,SUSPICIOUS
2026-06-15 17:04:16.296468,admin123,0.2,DENY,REPLAY
2026-06-15 17:04:29.693521,admin123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:04:40.544359,admin123,7.36,DENY,REPLAY
2026-06-15 17:04:57.494673,admin123,2.74,ALLOW,NORMAL
2026-06-15 17:05:05.625180,admin123,0.2,DENY,REPLAY
2026-06-15 17:05:22.351325,admin123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:05:31.097772,admin123,0.2,DENY,REPLAY
2026-06-15 17:29:06.123972,admin123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:29:28.192237,admin123,0.0,DENY,REPLAY
2026-06-15 17:30:15.176498,admin123,0.2,DENY,WRONG_PASSWORD
2026-06-15 17:30:27.778870,admin123,0.0,DENY,REPLAY
2026-06-15 17:30:56.753462,cyber2026,0.2,DENY,SUSPICIOUS
2026-06-15 17:31:17.001813,cyber2026,0.0,DENY,REPLAY
2026-06-15 17:38:23.330498,admin123,0.2,DENY,SUSPICIOUS
2026-06-15 17:38:34.825416,admin123,0.0,DENY,SUSPICIOUS
2026-06-15 17:40:45.860729,admin123,0.2,DENY,REPLAY
2026-06-15 17:41:04.531513,admin123,0.0,DENY,WRONG_PASSWORD
2026-06-15 17:41:35.515732,admin123,0.0,DENY,REPLAY
2026-06-15 17:42:19.123636,cyber2026,0.0,DENY,WRONG_PASSWORD
2026-06-15 17:42:36.126139,cyber2026,0.0,DENY,REPLAY
2026-06-16 10:29:32.137844,admin123,0.0,DENY,WRONG_PASSWORD
2026-06-16 10:29:57.751759,cyber2026,0.0,DENY,WRONG_PASSWORD
2026-06-16 10:38:44.450307,admin123,5.08,DENY,WRONG_PASSWORD
2026-06-16 10:39:15.879549,cyber2026,7.2,DENY,WRONG_PASSWORD
2026-06-16 10:46:42.577205,admin123,13.01,DENY,WRONG_PASSWORD
2026-06-16 10:46:58.286386,admin123,3.85,ALLOW,NORMAL
2026-06-16 10:56:01.839064,admin123,5.04,ALLOW,NORMAL
2026-06-16 10:56:19.908440,cyber2026,6.99,ALLOW,NORMAL
2026-06-16 10:56:35.780244,admin123,0.2,DENY,SUSPICIOUS
2026-06-16 10:56:49.586524,cyber2026,0.2,DENY,SUSPICIOUS
2026-06-16 11:40:41.572805,admin123,3.81,ALLOW,NORMAL
2026-06-16 11:40:55.793296,cyber2026,5.41,ALLOW,NORMAL
2026-06-16 11:41:22.150910,wrong123,6.96,DENY,WRONG_PASSWORD
2026-06-16 11:41:47.245398,admin123,0.2,DENY,SUSPICIOUS
2026-06-16 11:43:00.871239,admin123,3.34,ALLOW,NORMAL
2026-06-16 11:47:20.916196,admin123,3.5,ALLOW,NORMAL
2026-06-16 11:47:41.975094,cyber2026,8.59,ALLOW,NORMAL
2026-06-16 11:48:03.166017,guest123,7.62,ALLOW,NORMAL
2026-06-16 11:52:11.041446,admin123,3.78,ALLOW,NORMAL
2026-06-16 11:52:39.891334,cyber2026,9.49,ALLOW,NORMAL
2026-06-16 20:58:35.597524,admin123,4.08,ALLOW,NORMAL
2026-06-16 20:58:46.565071,admin123,0.2,DENY,SUSPICIOUS
2026-06-16 20:59:04.146777,cyber2026,7.67,ALLOW,NORMAL
